"","review_id","source_id","review_source","score","location"
"226","R_947","C_266","CO","pos; сравнивают МС с англ. филологом самоучкой Ричардом Джонсом","1839. Т. 8. Отд. 4. С. 148-149"
"227","R_951","C_266","Sev_pchela","pos","1839. № 125. С. 498"
"228","R_953","C_269","Sovr","pos","1840. Т. 17. С. 65-67"
"229","R_954","C_269","OZ","pos","1839. Т. 6. Отд. 7. С. 148"
"230","R_955","C_269","CO","pos; но в целом отвратительно про поэток","1839. Т. 11. Отд. 4. С. 38-41"
"231","R_958","C_269","JMNP","pos","1840. Ч. 25. Отд. VI. С. 118-119, 122-124 -- Ф. Менцов"
"232","R_959","C_269","Sev_pchela","pos","1839. № 254. С. 1015"
"233","R_960","C_269","BdCH","pos","1839. Т. 37. С. 1-2"
"234","R_961","C_270","Sovr","neg","1839. Т. 15. С. 59-60"
"235","R_962","C_270","OZ","pos","1839. Т. 3. № 4. Отд. 7. С. 1-18"
"236","R_963","C_270","CO","pos","1839. Т. 8. Отд. 4. С. 73-78"
"237","R_967","C_270","Sev_pchela","pos","1839. № 80. С. 318-319 -- Ф. Б."
"238","R_969","C_274","Sovr","neg","1840. Т. 17. С. 67"
"239","R_970","C_274","OZ","neg","1839. Т. 6. Отд. 7. С. 144"
"240","R_971","C_274","CO","neg","1839. Т. 10. Отд. 4. С. 159-160"
"241","R_977","C_272","Sovr","neg","1840. Т. 17. С. 67"
"242","R_978","C_272","OZ","neg","1839. Т. 6. Отд. 7. С. 144"
"243","R_979","C_272","CO","neg","1839. Т. 10. Отд. 4. С. 159-160"
"244","R_985","C_273","Sovr","neg","1840. Т. 17. С. 67"
"245","R_986","C_273","OZ","neg","1839. Т. 6. Отд. 7. С. 144"
"246","R_987","C_273","CO","neg","1839. Т. 10. Отд. 4. С. 159-160"
"247","R_1002","C_277","OZ","???","1839. Т. 5. Отд. 7. С. 14-18"
"248","R_1009","C_285","Sovr","neg","1840. Т. 17. С. 67"
"249","R_1011","C_285","CO","neg; указ. автор как Жертсва Рогова(??)","1839. Т. 11. Отд. 4. С. 42"
"250","R_1018","C_286","OZ","neg","1839. Т. 4. Отд. 7. С. 106-108"
"251","R_1041","C_290","Sovr","neg","1839. Т. 14. С. 32-33"
"252","R_1042","C_290","OZ","???; иронично, стихотворение сравнивается с прозой ФБ","1839. Т. 2. № 3. Отд. 7. С. 145-148"
"253","R_1059","C_292","CO","neg","1839. Т. 11. Отд. 4. С. 115"
"254","R_1063","C_292","Sev_pchela","neg","1839. № 71. С. 283"
"255","R_1065","C_295","Sovr","neg","1839. Т. 15. С. 62"
"256","R_1066","C_295","OZ","neg","1839. Т. 3. № 5. Отд. 7. С. 155-156"
"257","R_1067","C_295","CO","neg; указан выход в 1840","1840. Т. 2. Кн. 4. С. 850-851"
"258","R_1073","C_296","Sovr","neg","1839. Т. 14. С. 32-33"
"259","R_1074","C_296","OZ","neg","1839. Т. 2. № 3. Отд. 7. С. 144-145"
"260","R_1082","C_298","OZ","neg","1839. Т. 5. Отд. 7. С. 10-14"
"261","R_1083","C_298","CO","pos","1839. Т. 10. Отд. 4. С. 60-61"
"262","R_1087","C_298","Sev_pchela","pos","1839. № 212. С. 847"
"263","R_1088","C_298","BdCH","neg","1838. Т. 30. С. 21-27"
"264","R_1090","C_299","OZ","pos","1839. Т. 5. Отд. 7. С. 1-10"
"265","R_1091","C_299","CO","pos; хвалят правительство, что белорусы вернулись к русскому языку, в конце пишут виват триаде","1839. Т. 10. Отд. 4. С. 59-60"
"266","R_1094","C_299","JMNP","pos","1839. Ч. 22. № 3. С. 74-82"
"267","R_1095","C_299","Sev_pchela","pos","1839. № 183. С. 731"
"268","R_1096","C_299","BdCH","pos; дифирамбы по поводу того, что прежде не говорящие по-русски ливонцы теперь пишут отлично","1839. Т. 36. С. 1-15"
"269","R_1097","C_300","Sovr","pos","1839. Т. 14. С. 30-31"
"270","R_1098","C_300","OZ","pos","1839. Т. 3. № 4. Отд. 7. С. 18-22"
"271","R_1099","C_300","CO","neg; ругают за отцветшие клише","1839. Т. 8. Отд. 4. С. 78-82"
"272","R_1103","C_300","Sev_pchela","pos","1839. № 67. С. 266-267"
"273","R_1105","C_301","Sovr","pos","1840. Т. 18. С. 145"
"274","R_1106","C_301","OZ","pos","1840. Т. 9. Отд. 6. С. 9-14"
"275","R_1107","C_301","CO","pos","1840. Т. 1. Кн. 4. С. 887-894"
"276","R_1110","C_301","JMNP","pos","1840. Ч. 25. Отд. VI. С. 110-113 -- Ф. Менцов"
"277","R_1111","C_301","Sev_pchela","pos","1840. № 67. С. 266-267 -- А. Чацкий"
"278","R_1112","C_301","BdCH","","1840. Т. 38. С. 27-29"
"279","R_1113","C_303","Sovr","neg","1840. Т. 19. С. 145"
"280","R_1114","C_303","OZ","neg","1840. Т. 10. Отд. 6. С. 10-12"
"281","R_1115","C_303","CO","neg","1840. Т. 2. Кн. 4. С. 851-852"
"282","R_1121","C_306","Sovr","neg","1840. Т. 19. С. 143"
"283","R_1122","C_306","OZ","neg","1840. Т. 9. Отд. 6. С. 39"
"284","R_1123","C_306","CO","neg","1840. Т. 2. Кн. 3. С. 612-613; СО. 1840. Т. 5. Кн. 19-20. С. 252-253"
"285","R_1129","C_312","Sovr","neg","1840. Т. 20. С. 97-98"
"286","R_1130","C_312","OZ","neg","1840. Т. 10. Отд. 6. С. 56"
"287","R_1131","C_312","CO","neg","1840. Т. 3. Кн. 2. С. 382-384"
"288","R_1136","C_312","BdCH","neg","1840. Т. 40. С. 10-12"
"289","R_1137","C_313","Sovr","neg","1840. Т. 20. С. 97-98"
"290","R_1138","C_313","OZ","neg","1840. Т. 10. Отд. 6. С. 52-53"
"291","R_1139","C_313","CO","neg","1840. Т. 3. Кн. 2. С. 379-382"
"292","R_1144","C_313","BdCH","???","1840. Т. 40. С. 9-10"
"293","R_1145","C_315","Sovr","pos","1841. Т. 21. С. 98-99"
"294","R_1146","C_315","OZ","pos","1840. Т. 13. Отд 6. С. 1-6; 1840. Т. 14. Отд. 5. С. 35-"
"295","R_1151","C_315","Sev_pchela","","1840. № 284. С. 1134-1135; № 285. С. 1138-1140 -- Л.Л."
"296","R_1152","C_315","BdCH","pos","1840. Т. 43. С. 1-13"
"297","R_1153","C_316","Sovr","","1840. Т. 18. С. 133-134"
"298","R_1154","C_316","OZ","neg","1840. Т. 9. Отд. 6. С. 8-9"
"299","R_1155","C_316","CO","pos","1840. Т. 1. Кн. 4. С. 884"
"300","R_1158","C_316","JMNP","pos","1840. Ч. 25. Отд. VI. С. 118-122 -- Ф. Менцов"
"301","R_1159","C_316","Sev_pchela","pos","1840. № 59. С. 234-235 -- Н.С."
"302","R_1160","C_316","BdCH","pos","1840. Т. 38. С. 29-31"
"303","R_1161","C_318","Sovr","neg","1840. Т. 19. С. 143"
"304","R_1162","C_318","OZ","neg","1840. Т. 10. Отд. 6. С. 16-17"
"305","R_1163","C_318","CO","neg","1840. Т. 2. Кн. 4. С. 849-850"
"306","R_1168","C_318","BdCH","neg","1840. Т. 40. С. 10"
"307","R_1169","C_319","Sovr","neg","1840. Т. 19. С. 143"
"308","R_1170","C_319","OZ","neg; сравнение с Кольцовым","1840. Т. 10. Отд. 6. С. 13-16"
"309","R_1171","C_319","CO","pos; занимательное рассуждение о том, что у Слепушкина поэзия не от сердца, как у Кольцова","1840. Т. 2. Кн. 3. С. 611-612"
"310","R_1175","C_319","Sev_pchela","pos","1840. № 135. С. 539 -- Л.Л."
"311","R_1177","C_320","Sovr","pos","1841. Т. 21. С. 114"
"312","R_1178","C_320","OZ","pos","1840. Т. 13. Отд. 6. С. 20-42"
"313","R_1184","C_320","BdCH","","1841. Т. 44. С. 1-4"
"314","R_1185","C_321","Sovr","neg","1840. Т. 20. С. 97-98"
"315","R_1186","C_321","OZ","neg","1840. Т. 12. Отд. 6. С. 51"
"316","R_1195","C_322","CO","neg","1840. Т. 5. Кн. 3-4. С. 475-479"
"317","R_1200","C_322","BdCH","neg","1840. Т. 43. С. 13"
"318","R_1201","C_324","Sovr","neg","1840. Т. 19. С. 143"
"319","R_1202","C_324","OZ","neg","1840. Т. 9. Отд. 6. С. 42"
"320","R_1209","C_325","Sovr","pos","1840. Т. 18. С. 145"
"321","R_1210","C_325","OZ","pos","1840. Т. 9. Отд. 6. С. 14-15"
"322","R_1211","C_325","CO","pos","1840. Т. 2. Кн. 1. С. 192-193"
"323","R_1215","C_325","Sev_pchela","neg","1840. № 108. С. 451"
"324","R_1219","C_327","CO","pos; указание на то, что Дерптские наборщини ни слова не понимали по русски","1840. Т. 2. Кн. 2. С. 403"
"325","R_1225","C_328","Sovr","neg","1840. Т. 20. С. 97-98"
"326","R_1226","C_328","OZ","neg","1840. Т. 11. Отд. 6. С. 41"
"327","R_1273","C_339","Sovr","pos","1840. Т. 17. С. 68-69"
"328","R_1274","C_339","OZ","pos","1839. Т. 7. Отд. 7. С. 3-15"
"329","R_1275","C_339","CO","pos","1840. Т. 1. Кн. 1. С. 171-173"
"330","R_1278","C_339","JMNP","pos","1840. Ч. 25. Отд. VI. С. 106-110 -- Ф. Менцов"
