,word_from,lemma,pos
137,цвете,цвет,"S,муж,неод=пр,ед"
138,Пафос,пафос,"S,гео,муж,неод=(вин,ед|им,ед)"
139,желала,желать,"V,несов,пе=прош,ед,изъяв,жен"
140,младыми,младой,"A=твор,мн,полн"
141,обильны,обильный,"A=мн,кр"
142,посещая,посещать,"V,пе=непрош,деепр,несов"
143,стебли,стебель,"S,муж,неод=(вин,мн|им,мн)"
144,сбирала,сбирать,"V,несов,пе=прош,ед,изъяв,жен"
145,богини,богиня,"S,жен,од=(род,ед|им,мн)"
146,колесница,колесница,"S,жен,неод=им,ед"
147,ветвистых,ветвистый,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
148,Талия,талия,"S,жен,неод=им,ед"
149,любимый,любимый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
150,пересаждаешь,пересаждать,"V,нп=непрош,ед,изъяв,2-л,несов"
151,отсюда,отсюда,ADVPRO=
152,любимы,любимый,"A=мн,кр"
153,также,также,ADV=
154,полянам,поляна,"S,жен,неод=дат,мн"
155,разу,раз,"S,муж,неод=(дат,ед|парт,ед)"
156,видеть,видеть,"V,несов,пе=инф"
157,любезный,любезный,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
158,поле,поле,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
159,Аглая,аглая,"S,имя,жен,од=им,ед"
160,видеть,видеть,"V,несов,пе=инф"
161,милый,милый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
162,сказала,сказать,"V,сов,пе=прош,ед,изъяв,жен"
163,Паситея,паситей,"S,муж,од=(вин,ед|род,ед)"
164,найдется,находиться,"V,нп=непрош,ед,изъяв,3-л,сов"
165,гораздо,гораздо,ADV=
166,цветнее,цветной,A=срав
167,улыбаясь,улыбаться,"V,нп=непрош,деепр,несов"
168,одобряет,одобрять,"V,пе=непрош,ед,изъяв,3-л,несов"
169,долам,дол,"S,муж,неод=дат,мн"
170,богатым,богатый,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
171,видит,видеть,"V,несов,пе=непрош,ед,изъяв,3-л"
172,Идальский,идальский,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
173,покрытым,покрывать,"V=(прош,дат,мн,прич,полн,сов,страд|прош,твор,ед,прич,полн,муж,сов,страд|прош,твор,ед,прич,полн,сред,сов,страд)"
174,колесницы,колесница,"S,жен,неод=(вин,мн|род,ед|им,мн)"
175,пару,пара,"S,жен,неод=вин,ед"
176,гладит,гладить,"V,несов,пе=непрош,ед,изъяв,3-л"
177,младая,младой,"A=им,ед,полн,жен"
178,певица,певица,"S,жен,од=им,ед"
179,богиню,богиня,"S,жен,од=вин,ед"
180,видит,видеть,"V,несов,пе=непрош,ед,изъяв,3-л"
181,фиалке,фиалка,"S,жен,неод=(пр,ед|дат,ед)"
182,сердце,сердце,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
183,изъясняет,изъяснять,"V,пе=непрош,ед,изъяв,3-л,несов"
184,холме,холм,"S,муж,неод=пр,ед"
185,колесницу,колесница,"S,жен,неод=вин,ед"
186,сияньем,сияние,"S,сред,неод=твор,ед"
187,солнце,солнце,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
188,богиня,богиня,"S,жен,од=им,ед"
189,ласкает,ласкать,"V,несов,пе=непрош,ед,изъяв,3-л"
190,колесница,колесница,"S,жен,неод=им,ед"
191,своды,свод,"S,муж,неод=(вин,мн|им,мн)"
192,беседки,беседка,"S,жен,неод=(вин,мн|род,ед|им,мн)"
193,кустами,куст,"S,муж,неод=твор,мн"
194,обвита,обвивать,"V=прош,ед,прич,кр,жен,сов,страд"
195,розу,роза,"S,жен,неод=вин,ед"
196,пернатых,пернатое,"S,сред,од=(пр,мн|вин,мн|род,мн)"
197,возлюбила,возлюбить,"V,сов,пе=прош,ед,изъяв,жен"
198,бессмертных,бессмертный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
199,паву,пава,"S,жен,од=вин,ед"
200,царица,царица,"S,жен,од=им,ед"
201,гвоздику,гвоздика,"S,жен,неод=вин,ед"
202,Достойны,достойный,"A=мн,кр"
203,сана,сан,"S,муж,неод=род,ед"
204,любимец,любимец,"S,муж,од=им,ед"
205,красотою,красота,"S,жен,неод=твор,ед"
206,Афродиты,афродита,"S,имя,жен,од=(род,ед|им,мн)"
207,же,же,PART=
208,проворным,проворный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
209,уступают,уступать,"V,пе=непрош,мн,изъяв,3-л,несов"
210,песнопеньи,песнопение,"S,сред,неод=пр,ед"
211,благоуханьем,благоухание,"S,сред,неод=твор,ед"
212,превосходишь,превосходить,"V,пе=непрош,ед,изъяв,2-л,несов"
213,подруга,подруга,"S,жен,од=им,ед"
214,безвестны,безвестный,"A=мн,кр"
215,отвечала,отвечать,"V,нп=прош,ед,изъяв,жен,несов"
216,мне,я,"SPRO,ед,1-л=(пр|дат)"
217,дружбой,дружба,"S,жен,неод=твор,ед"
218,дерзаешь,дерзать,"V,нп=непрош,ед,изъяв,2-л,несов"
219,Конечно,конечно,"ADV,вводн="
220,весенних,весенний,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
221,равняться,равняться,"V,несов,нп=инф"
222,песнопеньи,песнопение,"S,сред,неод=пр,ед"
223,спорить,спорить,"V,несов,нп=инф"
224,розой,роза,"S,жен,неод=твор,ед"
225,даром,даром,ADV=
226,Киприда,киприд,"S,фам,муж,од=(вин,ед|род,ед)"
227,стоит,стоять,"V,несов,нп=непрош,ед,изъяв,3-л"
228,красою,краса,"S,жен,неод=твор,ед"
229,превосходить,превосходить,"V,пе=инф,несов"
230,Венера,венера,"S,имя,жен,од=им,ед"
231,небесных,небесный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
232,довольна,довольный,"A=ед,кр,жен"
233,лоне,лоно,"S,сред,неод=пр,ед"
234,родившей,родить,"V,сов=(прош,пр,ед,прич,полн,жен,действ|прош,дат,ед,прич,полн,жен,действ|прош,род,ед,прич,полн,жен,действ|прош,твор,ед,прич,полн,жен,действ)"
235,свободна,свободный,"A=ед,кр,жен"
236,гонений,гонение,"S,сред,неод=род,мн"
237,безвестна,безвестный,"A=ед,кр,жен"
238,пастушка,пастушка,"S,жен,од=им,ед"
239,хороводу,хоровод,"S,муж,неод=дат,ед"
240,украшая,украшать,"V=непрош,деепр,несов,пе"
241,оный,оный,"APRO=(вин,ед,муж,неод|им,ед,муж)"
242,цветочков,цветочек,"S,муж,неод=род,мн"
243,тягость,тягость,"S,жен,неод=(вин,ед|им,ед)"
244,имею,иметь,"V,несов,пе=непрош,ед,изъяв,1-л"
245,певицу,певица,"S,жен,од=вин,ед"
246,весенних,весенний,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
247,жребья,жребей,"S,муж,неод=род,ед"
248,другого,другой,"APRO=(вин,ед,муж,од|род,ед,муж|род,ед,сред)"
249,удела,удел,"S,муж,неод=род,ед"
250,славен,славный,"A=ед,кр,муж"
251,наслажденья,наслаждение,"S,сред,неод=(вин,мн|род,ед|им,мн)"
252,муку,мука,"S,жен,неод=вин,ед"
253,бы,бы,PART=
254,любимцы,любимец,"S,муж,од=им,мн"
255,заслуги,заслуга,"S,жен,неод=(вин,мн|род,ед|им,мн)"
256,награждая,награждать,"V=непрош,деепр,несов,пе"
257,жребий,жребий,"S,муж,неод=(вин,ед|им,ед)"
258,надлежало,надлежать,"V,несов=прош,ед,изъяв,сред"
259,величья,величие,"S,сред,неод=(вин,мн|род,ед|им,мн)"
260,чужды,чуждый,"A=мн,кр"
261,громоносцем,громоносец,"S,муж,од=твор,ед"
262,Зевеса,зевес,"S,муж,од=(вин,ед|род,ед)"
263,гордым,гордый,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
264,Юноны,юнона,"S,имя,жен,од=(род,ед|им,мн)"
265,привыкла,привыкать,"V,нп=прош,ед,изъяв,жен,сов"
266,потоки,поток,"S,муж,неод=(вин,мн|им,мн)"
267,внимали,внимать,"V,нп=прош,мн,изъяв,несов"
268,Зефиры,зефир,"S,муж,неод=(вин,мн|им,мн)"
269,крылами,крыло,"S,сред,неод=твор,мн"
270,песням,песня,"S,жен,неод=дат,мн"
271,б,б,PART=
272,было,быть,"V,нп=прош,ед,изъяв,сред,несов"
273,напевам,напев,"S,муж,неод=дат,мн"
274,бессмертных,бессмертный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
275,силой,сила,"S,жен,неод=твор,ед"
276,внимая,внимать,"V,нп=непрош,деепр,несов"
277,небесном,небесный,"A=(пр,ед,полн,муж|пр,ед,полн,сред)"
278,громы,гром,"S,муж,неод=(вин,мн|им,мн)"
279,гордый,гордый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
280,Юноны,юнона,"S,имя,жен,од=(род,ед|им,мн)"
281,нарочным,нарочный,"S,муж,од=(дат,мн|твор,ед)"
282,очарованье,очарование,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
283,звуков,звук,"S,муж,неод=род,мн"
284,начинаешь,начинать,"V,пе=непрош,ед,изъяв,2-л,несов"
285,милый,милый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
286,мгновенье,мгновение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
287,сблизит,сближать,"V=непрош,ед,изъяв,3-л,сов"
288,величьи,величие,"S,сред,неод=пр,ед"
289,стократно,стократно,ADV=
290,станешь,становиться,"V,нп=непрош,ед,изъяв,2-л,сов"
291,беспечность,беспечность,"S,жен,неод=(вин,ед|им,ед)"
292,издалеча,издалеча,ADV=
293,видят,видеть,"V,несов,пе=непрош,мн,изъяв,3-л"
294,большую,большой,"A=вин,ед,полн,жен"
295,груду,груда,"S,жен,неод=вин,ед"
296,скоро,скоро,ADV=
297,Венере,венера,"S,имя,жен,од=(пр,ед|дат,ед)"
298,Аглая,аглая,"S,имя,жен,од=им,ед"
299,таскает,таскать,"V,несов,пе=непрош,ед,изъяв,3-л"
300,гиацинтов,гиацинт,"S,муж,неод=род,мн"
301,колесницы,колесница,"S,жен,неод=(вин,мн|род,ед|им,мн)"
302,уклади,укладь,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
303,добычу,добыча,"S,жен,неод=вин,ед"
304,скитаясь,скитаться,"V,несов,нп=непрош,деепр"
305,бросает,бросать,"V=непрош,ед,изъяв,3-л,несов,пе"
306,повсюду,повсюду,ADV=
307,взоры,взор,"S,муж,неод=(вин,мн|им,мн)"
308,наклоняет,наклонять,"V,пе=непрош,ед,изъяв,3-л,несов"
309,руку,рука,"S,жен,неод=вин,ед"
310,ищет,искать,"V,несов,пе=непрош,ед,изъяв,3-л"
311,редко,редко,ADV=
312,зримо,зримо,ADV=
313,шагом,шаг,"S,муж,неод=твор,ед"
314,Харита,харита,"S,жен,од=им,ед"
315,живущим,жить,"V,несов,нп=(непрош,дат,мн,прич,полн,действ|непрош,твор,ед,прич,полн,муж,действ|непрош,твор,ед,прич,полн,сред,действ)"
316,вещала,вещать,"V,несов,пе=прош,ед,изъяв,жен"
317,Подруга,подруга,"S,жен,од=им,ед"
318,счастье,счастие,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
319,милый,милый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
320,сегодня,сегодня,ADV=
321,совершится,совершаться,"V,нп=непрош,ед,изъяв,3-л,сов"
322,вдохновенна,вдохновенный,"A=ед,кр,жен"
323,цели,цель,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
324,запела,запевать,"V,пе=прош,ед,изъяв,жен,сов"
325,молодая,молодой,"A=им,ед,полн,жен"
326,пенье,пение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
327,позабывает,позабывать,"V=непрош,ед,изъяв,3-л,несов,пе"
328,шагом,шаг,"S,муж,неод=твор,ед"
329,голос,голос,"S,муж,неод=(вин,ед|им,ед)"
330,раздается,раздаваться,"V,нп=непрош,ед,изъяв,3-л,несов"
331,любимый,любимый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
332,певицу,певица,"S,жен,од=вин,ед"
333,видит,видеть,"V,несов,пе=непрош,ед,изъяв,3-л"
334,вместе,вместе,ADV=
335,Харита,харита,"S,жен,од=им,ед"
336,дружбы,дружба,"S,жен,неод=(вин,мн|род,ед|им,мн)"
337,превосходишь,превосходить,"V,пе=непрош,ед,изъяв,2-л,несов"
338,фиалка,фиалка,"S,жен,неод=им,ед"
339,блеском,блеск,"S,муж,неод=твор,ед"
340,сколько,сколько,ADV=
341,станут,становиться,"V,нп=непрош,мн,изъяв,3-л,сов"
342,долго,долго,ADV=
343,возвращаюсь,возвращаться,"V,нп=непрош,ед,изъяв,1-л,несов"
344,любезны,любезный,"A=мн,кр"
345,решиться,решаться,"V,нп=инф,сов"
346,другом,друг,"S,муж,од=твор,ед"
347,умильно,умильно,ADV=
348,удалилась,удаляться,"V,нп=прош,ед,изъяв,жен,сов"
349,шепчет,шептать,"V,несов,пе=непрош,ед,изъяв,3-л"
350,Горюешь,горевать,"V,несов,нп=непрош,ед,изъяв,2-л"
351,даже,даже,PART=
352,друга,друг,"S,муж,од=(вин,ед|род,ед)"
353,неудачу,неудача,"S,жен,неод=вин,ед"
354,решиться,решаться,"V,нп=инф,сов"
355,совету,совет,"S,муж,неод=дат,ед"
356,несомненно,несомненно,"ADV,вводн="
357,желанье,желание,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
358,корнем,корень,"S,муж,неод=твор,ед"
359,богине,богиня,"S,жен,од=(пр,ед|дат,ед)"
360,готова,готовый,"A=ед,кр,жен"
361,же,же,PART=
362,восторге,восторг,"S,муж,неод=пр,ед"
363,фиалку,фиалка,"S,жен,неод=вин,ед"
364,Харитой,харита,"S,жен,од=твор,ед"
365,летает,летать,"V,несов,нп=непрош,ед,изъяв,3-л"
366,пеньем,пение,"S,сред,неод=твор,ед"
367,узрела,узреть,"V,сов,пе=прош,ед,изъяв,жен"
368,несомый,нести,"V,несов,пе=(непрош,вин,ед,прич,полн,муж,страд,неод|непрош,им,ед,прич,полн,муж,страд)"
369,любимый,любимый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
370,Харис,харис,"S,имя,муж,од=им,ед"
371,руку,рука,"S,жен,неод=вин,ед"
372,Подругу,подруга,"S,жен,од=вин,ед"
373,даром,даром,ADV=
374,певица,певица,"S,жен,од=им,ед"
375,мною,я,"SPRO,ед,1-л=твор"
376,фиалка,фиалка,"S,жен,неод=им,ед"
377,убором,убор,"S,муж,неод=твор,ед"
378,певица,певица,"S,жен,од=им,ед"
379,всегдашней,всегдашний,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
380,сестры,сестра,"S,жен,од=(род,ед|им,мн)"
381,будем,быть,"V,нп=(непрош,мн,изъяв,1-л|мн,пов,1-л)"
382,воле,воля,"S,жен,неод=(пр,ед|дат,ед)"
383,плечи,плечо,"S,сред,неод=(вин,мн|им,мн)"
384,станешь,становиться,"V,нп=непрош,ед,изъяв,2-л,сов"
385,дева,дева,"S,жен,од=им,ед"
386,небе,небо,"S,сред,неод=пр,ед"
387,песню,песня,"S,жен,неод=вин,ед"
388,воспела,воспевать,"V,пе=прош,ед,изъяв,жен,сов"
389,Ирида,ирида,"S,имя,жен,од=им,ед"
390,напастях,напасть,"S,жен,неод=пр,мн"
391,небесных,небесный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
392,земного,земной,"A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред)"
393,мигает,мигать,"V,несов,нп=непрош,ед,изъяв,3-л"
394,волю,воля,"S,жен,неод=вин,ед"
395,семицветный,семицветный,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
396,землю,земля,"S,жен,неод=вин,ед"
397,дугою,дуга,"S,жен,неод=твор,ед"
398,обнимает,обнимать,"V,пе=непрош,ед,изъяв,3-л,несов"
399,горных,горный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
400,кипящих,кипеть,"V,несов,нп=(непрош,пр,мн,прич,полн,действ|непрош,род,мн,прич,полн,действ|непрош,вин,мн,прич,полн,действ,од)"
401,вступаешь,вступать,"V,нп=непрош,ед,изъяв,2-л,несов"
402,неба,небо,"S,сред,неод=(вин,мн|род,ед|им,мн)"
403,равнина,равнина,"S,жен,неод=им,ед"
404,сияют,сиять,"V,несов,нп=непрош,мн,изъяв,3-л"
405,отверстых,отверстый,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
406,льется,литься,"V,несов,нп=непрош,ед,изъяв,3-л"
407,землю,земля,"S,жен,неод=вин,ед"
408,дышет,дышет,"S,муж,неод=(вин,ед|им,ед)"
409,Ирида,ирида,"S,имя,жен,од=им,ед"
410,напастях,напасть,"S,жен,неод=пр,мн"
411,небесных,небесный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
412,земного,земной,"A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред)"
413,дева,дева,"S,жен,од=им,ед"
414,удивленьем,удивление,"S,сред,неод=твор,ед"
415,живую,живой,"A=вин,ед,полн,жен"
416,слыхала,слыхать,"V,несов,пе=прош,ед,изъяв,жен"
417,собою,себя,SPRO=твор
418,слыхали,слыхать,"V,несов,пе=прош,мн,изъяв"
419,наверно,наверно,"ADV,вводн="
420,Ириды,ирида,"S,имя,жен,од=(род,ед|им,мн)"
421,коснется,касаться,"V,нп=непрош,ед,изъяв,3-л,сов"
422,находят,находить,"V=непрош,мн,изъяв,3-л,несов"
423,красок,краска,"S,жен,неод=род,мн"
424,оттенкой,оттенка,"S,жен,неод=твор,ед"
425,золотую,золотой,"A=вин,ед,полн,жен"
426,изделья,изделие,"S,сред,неод=(вин,мн|род,ед|им,мн)"
427,чаши,чаша,"S,жен,неод=(вин,мн|род,ед|им,мн)"
428,пируя,пировать,"V,несов,нп=непрош,деепр"
429,чаши,чаша,"S,жен,неод=(вин,мн|род,ед|им,мн)"
430,хотелось,хотеться,"V,несов,нп=прош,ед,изъяв,сред"
431,нисходит,нисходить,"V,нп=непрош,ед,изъяв,3-л,несов"
432,глазами,глаз,"S,муж,неод=твор,мн"
433,заметить,замечать,"V,пе=инф,сов"
434,знаки,знак,"S,муж,неод=(вин,мн|им,мн)"
435,богини,богиня,"S,жен,од=(род,ед|им,мн)"
436,казалось,казаться,"V,несов,нп=прош,ед,изъяв,сред"
437,усердней,усердный,A=срав
438,молилась,молиться,"V,несов,нп=прош,ед,изъяв,жен"
439,ближе,близко,ADV=срав
440,стада,стадо,"S,сред,неод=(вин,мн|род,ед|им,мн)"
441,удалиться,удаляться,"V,нп=инф,сов"
